Postal_code,Population
" ,"" "",""1671 København V (København Municipality)"",539"
" ,"" "",""1672 København V (København Municipality)"",154"
" ,"" "",""1673 København V (København Municipality)"",143"
" ,"" "",""1674 København V (København Municipality)"",1262"
" ,"" "",""1675 København V (København Municipality)"",120"
" ,"" "",""1676 København V (København Municipality)"",355"
" ,"" "",""1677 København V (København Municipality)"",142"
" ,"" "",""1700 København V (København Municipality)"",580"
" ,"" "",""1701 København V (København Municipality)"",117"
" ,"" "",""1702 København V (København Municipality)"",142"
" ,"" "",""1703 København V (København Municipality)"",189"
" ,"" "",""1704 København V (København Municipality)"",119"
" ,"" "",""1705 København V (København Municipality)"",950"
" ,"" "",""1706 København V (København Municipality)"",138"
" ,"" "",""1707 København V (København Municipality)"",65"
" ,"" "",""1708 København V (København Municipality)"",198"
" ,"" "",""1709 København V (København Municipality)"",691"
" ,"" "",""1710 København V (København Municipality)"",21"
" ,"" "",""1715 København V (København Municipality)"",0"
" ,"" "",""1717 København V (København Municipality)"",240"
" ,"" "",""1718 København V (København Municipality)"",635"
" ,"" "",""1719 København V (København Municipality)"",599"
" ,"" "",""1720 København V (København Municipality)"",1970"
" ,"" "",""1721 København V (København Municipality)"",896"
" ,"" "",""1722 København V (København Municipality)"",496"
" ,"" "",""1723 København V (København Municipality)"",101"
" ,"" "",""1724 København V (København Municipality)"",113"
" ,"" "",""1725 København V (København Municipality)"",350"
" ,"" "",""1726 København V (København Municipality)"",457"
" ,"" "",""1727 København V (København Municipality)"",366"
" ,"" "",""1728 København V (København Municipality)"",274"
" ,"" "",""1729 København V (København Municipality)"",212"
" ,"" "",""1730 København V (København Municipality)"",171"
" ,"" "",""1731 København V (København Municipality)"",90"
" ,"" "",""1732 København V (København Municipality)"",116"
" ,"" "",""1733 København V (København Municipality)"",115"
" ,"" "",""1734 København V (København Municipality)"",119"
" ,"" "",""1735 København V (København Municipality)"",207"
" ,"" "",""1736 København V (København Municipality)"",183"
" ,"" "",""1737 København V (København Municipality)"",248"
" ,"" "",""1738 København V (København Municipality)"",230"
" ,"" "",""1739 København V (København Municipality)"",92"
" ,"" "",""1748 København V (København Municipality)"",0"
" ,"" "",""1749 København V (København Municipality)"",219"
" ,"" "",""1750 København V (København Municipality)"",840"
" ,"" "",""1751 København V (København Municipality)"",433"
" ,"" "",""1752 København V (København Municipality)"",320"
" ,"" "",""1753 København V (København Municipality)"",80"
" ,"" "",""1754 København V (København Municipality)"",566"
" ,"" "",""1755 København V (København Municipality)"",100"
" ,"" "",""1756 København V (København Municipality)"",403"
" ,"" "",""1757 København V (København Municipality)"",180"
" ,"" "",""1758 København V (København Municipality)"",330"
" ,"" "",""1759 København V (København Municipality)"",27"
" ,"" "",""1760 København V (København Municipality)"",652"
" ,"" "",""1761 København V (København Municipality)"",373"
" ,"" "",""1762 København V (København Municipality)"",403"
" ,"" "",""1763 København V (København Municipality)"",547"
" ,"" "",""1764 København V (København Municipality)"",269"
" ,"" "",""1765 København V (København Municipality)"",164"
" ,"" "",""1766 København V (København Municipality)"",47"
" ,"" "",""1770 København V (København Municipality)"",184"
" ,"" "",""1771 København V (København Municipality)"",49"
" ,"" "",""1772 København V (København Municipality)"",53"
" ,"" "",""1773 København V (København Municipality)"",55"
" ,"" "",""1774 København V (København Municipality)"",129"
" ,"" "",""1775 København V (København Municipality)"",51"
" ,"" "",""1777 København V (København Municipality)"",124"
" ,"" "",""1799 København V (København Municipality)"",5894"
" ,"" "",""1800 Frederiksberg C (Frederiksberg Municipality)"",722"
" ,"" "",""1801 Frederiksberg C (Frederiksberg Municipality)"",385"
" ,"" "",""1802 Frederiksberg C (Frederiksberg Municipality)"",242"
" ,"" "",""1803 Frederiksberg C (Frederiksberg Municipality)"",93"
" ,"" "",""1804 Frederiksberg C (Frederiksberg Municipality)"",272"
" ,"" "",""1805 Frederiksberg C (Frederiksberg Municipality)"",25"
